Strategy,Index,dte,Fund,PositivePSL,NegativePSL
CRUDEOIL,CRUDEOIL,1,-1,2,-2
CRUDEOIL,CRUDEOIL,2,-1,2,-2
CRUDEOIL,CRUDEOIL,3,-1,2,-2
CRUDEOIL,CRUDEOIL,4,-1,2,-2
CRUDEOIL,CRUDEOIL,5,-1,2,-2
CRUDEOIL,CRUDEOIL,6,-1,2,-2
CRUDEOIL,CRUDEOIL,7,-1,2,-2
CRUDEOIL,CRUDEOIL,8,-1,2,-2
CRUDEOIL,CRUDEOIL,9,-1,2,-2
CRUDEOIL,CRUDEOIL,10,-1,2,-2
NATURALGAS,NATURALGAS,1,-1,2,-2
NATURALGAS,NATURALGAS,2,-1,2,-2
NATURALGAS,NATURALGAS,3,-1,2,-2
NATURALGAS,NATURALGAS,4,-1,2,-2
NATURALGAS,NATURALGAS,5,-1,2,-2
NATURALGAS,NATURALGAS,6,-1,2,-2
B120_1,CRUDEOIL,1,25000000,1,-1.25
B120_1,CRUDEOIL,2,25000000,1,-1.25
B120_1,CRUDEOIL,3,25000000,1,-1.25
B120_1,CRUDEOIL,4,25000000,1,-1.25
B120_1,CRUDEOIL,5,25000000,1,-1.25
B120_1,CRUDEOIL,6,25000000,1,-1.25
B120_1,CRUDEOIL,7,25000000,1,-1.25
B120_1,CRUDEOIL,8,25000000,1,-1.25
B120_1,CRUDEOIL,9,25000000,1,-1.25
B120_1,CRUDEOIL,10,25000000,1,-1.25
B120_2,CRUDEOIL,1,25000000,1,-1.25
B120_2,CRUDEOIL,2,25000000,1,-1.25
B120_2,CRUDEOIL,3,25000000,1,-1.25
B120_2,CRUDEOIL,4,25000000,1,-1.25
B120_2,CRUDEOIL,5,25000000,1,-1.25
B120_2,CRUDEOIL,6,25000000,1,-1.25
B120_2,CRUDEOIL,7,25000000,1,-1.25
B120_2,CRUDEOIL,8,25000000,1,-1.25
B120_2,CRUDEOIL,9,25000000,1,-1.25
B120_2,CRUDEOIL,10,25000000,1,-1.25
B120_1,NATURALGAS,1,25000000,0.375,-0.4687
B120_1,NATURALGAS,2,25000000,0.375,-0.4687
B120_1,NATURALGAS,3,25000000,0.375,-0.4687
B120_1,NATURALGAS,4,25000000,0.375,-0.4687
B120_1,NATURALGAS,5,25000000,0.375,-0.4687
B120_1,NATURALGAS,6,25000000,0.375,-0.4687
B120_2,NATURALGAS,1,25000000,0.375,-0.4687
B120_2,NATURALGAS,2,25000000,0.375,-0.4687
B120_2,NATURALGAS,3,25000000,0.375,-0.4687
B120_2,NATURALGAS,4,25000000,0.375,-0.4687
B120_2,NATURALGAS,5,25000000,0.375,-0.4687
B120_2,NATURALGAS,6,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,1,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,2,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,3,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,4,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,5,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,6,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,7,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,8,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,9,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,CRUDEOIL,10,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,1,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,2,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,3,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,4,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,5,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,6,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,7,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,8,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,9,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_2,CRUDEOIL,10,25000000,1,-1.25
SRE_SEPARATE_LEG_SL_1,NATURALGAS,1,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,NATURALGAS,2,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,NATURALGAS,3,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,NATURALGAS,4,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,NATURALGAS,5,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_1,NATURALGAS,6,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,1,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,2,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,3,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,4,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,5,25000000,0.375,-0.4687
SRE_SEPARATE_LEG_SL_2,NATURALGAS,6,25000000,0.375,-0.4687
